date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:48	14229/14229	U-----	200	untouched ('')	image/jpeg	etag:%223795-4aaecb1b0cb40%22	http://archiv.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt10_klein.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt10_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2011/08/index.html)
00:31:48	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/_/images._/pixel.1408.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/)
00:31:48	100607/100607	U-----	200	untouched ('')	image/jpeg	etag:%22188ff-4aaec45821780%22	http://archiv.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt1.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt1.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2011/08/index.html)
00:31:48	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/_/images._/pixel.1409.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/)
00:31:48	19729/19729	U-----	200	untouched ('')	image/jpeg	etag:%224d11-4aaec4694c000%22	http://archiv.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt1_klein.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt1_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2011/08/index.html)
00:31:48	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/_/images._/pixel.140a.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/)
00:31:48	108305/108305	U-----	200	untouched ('')	image/jpeg	etag:%221a711-4aaec487d0800%22	http://archiv.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt2.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt2.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2011/08/index.html)
00:31:48	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/_/images._/pixel.140b.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/)
00:31:48	21823/21823	U-----	200	untouched ('')	image/jpeg	etag:%22553f-4aaec499ef2c0%22	http://archiv.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt2_klein.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt2_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2011/08/index.html)
00:31:49	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/_/images._/pixel.140c.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2006/blueskonzert/)
00:31:49	71975/71975	U-----	200	untouched ('')	image/jpeg	etag:%2211927-4aaec4b967d00%22	http://archiv.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt3.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2011/08/img/kinderrechte_frankfurt3.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2011/08/index.html)
