date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:09	5701/5701	U-----	200	untouched ('')	image/jpeg	etag:%221645-447a525ab4580%22	http://archiv.tdh-murgtal.de/aktivitaeten/2008/jubilaeumskonzert/img/konzert3_klein.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2008/jubilaeumskonzert/img/konzert3_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:09	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a27.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/kuenstler.html)
23:45:09	8497/8497	U-----	200	untouched ('')	image/jpeg	etag:%222131-448de882665c0%22	http://archiv.tdh-murgtal.de/aktivitaeten/2008/radboerse/img/radboerse_besucher_klein.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2008/radboerse/img/radboerse_besucher_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:09	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a28.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/kuenstler.html)
23:45:10	10223/10223	U-----	200	untouched ('')	image/jpeg	etag:%2227ef-448de78c5a140%22	http://archiv.tdh-murgtal.de/aktivitaeten/2008/radboerse/img/radboerse_radhaus_kastner_klein.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2008/radboerse/img/radboerse_radhaus_kastner_klein.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:10	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a29.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/kuenstler.html)
23:45:10	25889/25889	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:08%20GMT	http://archiv.tdh-murgtal.de/termine/2009/ael-jawala-konzert/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/termine/2009/ael-jawala-konzert/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:10	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a2a.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/kuenstler.html)
23:45:10	67844/67844	U-----	200	untouched ('')	image/jpeg	etag:%2210904-46126e6e10240%22	http://archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_axa_kolb.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2009/01/img/spende_axa_kolb.jpg	(from http://archiv.tdh-murgtal.de/aktuelles/2009/01/index.html)
23:45:10	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a2b.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/kuenstler.html)
